all_riders,rider_class,stage,points,stage_class
Bastien Tronchon,Unclassed,X20,0,Hills
Bastien Tronchon,Unclassed,X21,0,Flat
Vincenzo Albanese,Sprinter,X1,0,Flat
Vincenzo Albanese,Sprinter,X2,0,Hills
Vincenzo Albanese,Sprinter,X3,0,Flat
Vincenzo Albanese,Sprinter,X4,0,Hills
Vincenzo Albanese,Sprinter,X6,8,Hills
Vincenzo Albanese,Sprinter,X7,0,Hills
Vincenzo Albanese,Sprinter,X8,70,Flat
Vincenzo Albanese,Sprinter,X9,0,Flat
Vincenzo Albanese,Sprinter,X10,10,Hills
Vincenzo Albanese,Sprinter,X11,8,Hills
Vincenzo Albanese,Sprinter,X12,0,Mount
Vincenzo Albanese,Sprinter,X14,0,Mount
Vincenzo Albanese,Sprinter,X15,0,Hills
Vincenzo Albanese,Sprinter,X16,4,Mount
Vincenzo Albanese,Sprinter,X17,32,Flat
Vincenzo Albanese,Sprinter,X18,0,Mount
Vincenzo Albanese,Sprinter,X19,0,Mount
Vincenzo Albanese,Sprinter,X20,0,Hills
Vincenzo Albanese,Sprinter,X21,0,Flat
Kasper Asgreen,Unclassed,X1,0,Flat
Kasper Asgreen,Unclassed,X2,0,Hills
Kasper Asgreen,Unclassed,X3,8,Flat
Kasper Asgreen,Unclassed,X4,36,Hills
Kasper Asgreen,Unclassed,X6,8,Hills
Kasper Asgreen,Unclassed,X7,0,Hills
Kasper Asgreen,Unclassed,X8,0,Flat
Kasper Asgreen,Unclassed,X9,0,Flat
Kasper Asgreen,Unclassed,X10,10,Hills
Kasper Asgreen,Unclassed,X11,8,Hills
Kasper Asgreen,Unclassed,X12,0,Mount
Kasper Asgreen,Unclassed,X14,0,Mount
Kasper Asgreen,Unclassed,X15,0,Hills
Kasper Asgreen,Unclassed,X16,4,Mount
Kasper Asgreen,Unclassed,X17,0,Flat
Kasper Asgreen,Unclassed,X18,0,Mount
Kasper Asgreen,Unclassed,X19,0,Mount
Kasper Asgreen,Unclassed,X20,0,Hills
Kasper Asgreen,Unclassed,X21,0,Flat
Alex Baudin,Unclassed,X1,0,Flat
Alex Baudin,Unclassed,X2,0,Hills
Alex Baudin,Unclassed,X3,0,Flat
Alex Baudin,Unclassed,X4,35,Hills
Alex Baudin,Unclassed,X6,8,Hills
Alex Baudin,Unclassed,X7,32,Hills
Alex Baudin,Unclassed,X8,0,Flat
Alex Baudin,Unclassed,X9,0,Flat
Alex Baudin,Unclassed,X10,31,Hills
Alex Baudin,Unclassed,X11,8,Hills
Alex Baudin,Unclassed,X12,0,Mount
Alex Baudin,Unclassed,X14,0,Mount
Alex Baudin,Unclassed,X15,0,Hills
Alex Baudin,Unclassed,X16,4,Mount
Alex Baudin,Unclassed,X17,0,Flat
Alex Baudin,Unclassed,X18,0,Mount
Alex Baudin,Unclassed,X19,0,Mount
Alex Baudin,Unclassed,X20,0,Hills
Alex Baudin,Unclassed,X21,0,Flat
Ben Healy,Climber,X1,0,Flat
Ben Healy,Climber,X2,0,Hills
Ben Healy,Climber,X3,0,Flat
Ben Healy,Climber,X4,0,Hills
Ben Healy,Climber,X6,264,Hills
Ben Healy,Climber,X7,16,Hills
Ben Healy,Climber,X8,16,Flat
Ben Healy,Climber,X9,16,Flat
Ben Healy,Climber,X10,218,Hills
Ben Healy,Climber,X11,38,Hills
Ben Healy,Climber,X12,12,Mount
Ben Healy,Climber,X14,111,Mount
Ben Healy,Climber,X15,11,Hills
Ben Healy,Climber,X16,217,Mount
Ben Healy,Climber,X17,12,Flat
Ben Healy,Climber,X18,28,Mount
Ben Healy,Climber,X19,94,Mount
Ben Healy,Climber,X20,12,Hills
Ben Healy,Climber,X21,12,Flat
Neilson Powless,Unclassed,X1,0,Flat
Neilson Powless,Unclassed,X2,18,Hills
Neilson Powless,Unclassed,X3,9,Flat
Neilson Powless,Unclassed,X4,0,Hills
Neilson Powless,Unclassed,X6,8,Hills
Neilson Powless,Unclassed,X7,0,Hills
Neilson Powless,Unclassed,X8,1,Flat
Neilson Powless,Unclassed,X9,0,Flat
Neilson Powless,Unclassed,X10,10,Hills
Neilson Powless,Unclassed,X11,8,Hills
Neilson Powless,Unclassed,X12,0,Mount
Neilson Powless,Unclassed,X14,0,Mount
Neilson Powless,Unclassed,X15,40,Hills
Neilson Powless,Unclassed,X16,4,Mount
Neilson Powless,Unclassed,X17,0,Flat
Neilson Powless,Unclassed,X18,0,Mount
Neilson Powless,Unclassed,X19,0,Mount
Neilson Powless,Unclassed,X20,0,Hills
Neilson Powless,Unclassed,X21,25,Flat
Michael Valgren,Unclassed,X1,0,Flat
Michael Valgren,Unclassed,X2,0,Hills
Michael Valgren,Unclassed,X3,0,Flat
Michael Valgren,Unclassed,X4,0,Hills
Michael Valgren,Unclassed,X6,8,Hills
Michael Valgren,Unclassed,X7,0,Hills
Michael Valgren,Unclassed,X8,0,Flat
Michael Valgren,Unclassed,X9,0,Flat
Michael Valgren,Unclassed,X10,10,Hills
Michael Valgren,Unclassed,X11,8,Hills
Michael Valgren,Unclassed,X12,0,Mount
Michael Valgren,Unclassed,X14,0,Mount
Michael Valgren,Unclassed,X15,70,Hills
Michael Valgren,Unclassed,X16,4,Mount
Michael Valgren,Unclassed,X17,0,Flat
Michael Valgren,Unclassed,X18,0,Mount
Michael Valgren,Unclassed,X19,0,Mount
Michael Valgren,Unclassed,X20,0,Hills
Michael Valgren,Unclassed,X21,0,Flat
Marijn Van Den Berg,Sprinter,X1,0,Flat
Marijn Van Den Berg,Sprinter,X2,0,Hills
Marijn Van Den Berg,Sprinter,X3,0,Flat
Marijn Van Den Berg,Sprinter,X4,0,Hills
Marijn Van Den Berg,Sprinter,X6,8,Hills
Marijn Van Den Berg,Sprinter,X7,0,Hills
Marijn Van Den Berg,Sprinter,X8,0,Flat
Marijn Van Den Berg,Sprinter,X9,0,Flat
Marijn Van Den Berg,Sprinter,X10,0,Hills
Marijn Van Den Berg,Sprinter,X11,0,Hills
Marijn Van Den Berg,Sprinter,X12,0,Mount
Marijn Van Den Berg,Sprinter,X14,0,Mount
Marijn Van Den Berg,Sprinter,X15,0,Hills
Marijn Van Den Berg,Sprinter,X16,0,Mount
Marijn Van Den Berg,Sprinter,X17,0,Flat
Marijn Van Den Berg,Sprinter,X18,0,Mount
Marijn Van Den Berg,Sprinter,X19,0,Mount
Marijn Van Den Berg,Sprinter,X20,0,Hills
Marijn Van Den Berg,Sprinter,X21,0,Flat
Lewis Askey,Unclassed,X1,4,Flat
Lewis Askey,Unclassed,X2,8,Hills
Lewis Askey,Unclassed,X3,8,Flat
Lewis Askey,Unclassed,X4,4,Hills
Lewis Askey,Unclassed,X6,2,Hills
Lewis Askey,Unclassed,X7,2,Hills
Lewis Askey,Unclassed,X8,37,Flat
Lewis Askey,Unclassed,X9,2,Flat
Lewis Askey,Unclassed,X10,0,Hills
Lewis Askey,Unclassed,X11,2,Hills
Lewis Askey,Unclassed,X12,0,Mount
Lewis Askey,Unclassed,X14,0,Mount
Lewis Askey,Unclassed,X15,0,Hills
Lewis Askey,Unclassed,X16,0,Mount
Lewis Askey,Unclassed,X17,0,Flat
Lewis Askey,Unclassed,X18,0,Mount
Lewis Askey,Unclassed,X19,0,Mount
Lewis Askey,Unclassed,X20,0,Hills
Lewis Askey,Unclassed,X21,0,Flat
Valentin Madouas,Unclassed,X1,4,Flat
Valentin Madouas,Unclassed,X2,8,Hills
Valentin Madouas,Unclassed,X3,8,Flat
Valentin Madouas,Unclassed,X4,4,Hills
Valentin Madouas,Unclassed,X6,2,Hills
Valentin Madouas,Unclassed,X7,2,Hills
Valentin Madouas,Unclassed,X8,2,Flat
Valentin Madouas,Unclassed,X9,2,Flat
Valentin Madouas,Unclassed,X10,0,Hills
Valentin Madouas,Unclassed,X11,2,Hills
Valentin Madouas,Unclassed,X12,0,Mount
Valentin Madouas,Unclassed,X14,0,Mount
Valentin Madouas,Unclassed,X15,60,Hills
Valentin Madouas,Unclassed,X16,0,Mount
Valentin Madouas,Unclassed,X17,0,Flat
Valentin Madouas,Unclassed,X18,2,Mount
Valentin Madouas,Unclassed,X19,0,Mount
Valentin Madouas,Unclassed,X20,0,Hills
Valentin Madouas,Unclassed,X21,0,Flat
Guillaume Martin,Climber,X1,4,Flat
Guillaume Martin,Climber,X2,29,Hills
Guillaume Martin,Climber,X3,15,Flat
Guillaume Martin,Climber,X4,9,Hills
Guillaume Martin,Climber,X6,2,Hills
Guillaume Martin,Climber,X7,3,Hills
Guillaume Martin,Climber,X8,4,Flat
Guillaume Martin,Climber,X9,5,Flat
Guillaume Martin,Climber,X10,5,Hills
Guillaume Martin,Climber,X11,8,Hills
Guillaume Martin,Climber,X12,42,Mount
Guillaume Martin,Climber,X14,8,Mount
Guillaume Martin,Climber,X15,12,Hills
Guillaume Martin,Climber,X16,8,Mount
Guillaume Martin,Climber,X17,8,Flat
Guillaume Martin,Climber,X18,5,Mount
Guillaume Martin,Climber,X19,4,Mount
Guillaume Martin,Climber,X20,5,Hills
Guillaume Martin,Climber,X21,5,Flat
Quentin Pacher,Unclassed,X1,4,Flat
Quentin Pacher,Unclassed,X2,8,Hills
Quentin Pacher,Unclassed,X3,8,Flat
Quentin Pacher,Unclassed,X4,4,Hills
Quentin Pacher,Unclassed,X6,2,Hills
Quentin Pacher,Unclassed,X7,2,Hills
Quentin Pacher,Unclassed,X8,2,Flat
Quentin Pacher,Unclassed,X9,2,Flat
Quentin Pacher,Unclassed,X10,20,Hills
Quentin Pacher,Unclassed,X11,22,Hills
Quentin Pacher,Unclassed,X12,0,Mount
Quentin Pacher,Unclassed,X14,0,Mount
Quentin Pacher,Unclassed,X15,0,Hills
Quentin Pacher,Unclassed,X16,0,Mount
Quentin Pacher,Unclassed,X17,28,Flat
Quentin Pacher,Unclassed,X18,0,Mount
Quentin Pacher,Unclassed,X19,0,Mount
Quentin Pacher,Unclassed,X20,0,Hills
Quentin Pacher,Unclassed,X21,0,Flat
Paul Penhoët,Sprinter,X1,121,Flat
Paul Penhoët,Sprinter,X2,8,Hills
Paul Penhoët,Sprinter,X3,24,Flat
Paul Penhoët,Sprinter,X4,4,Hills
Paul Penhoët,Sprinter,X6,2,Hills
Paul Penhoët,Sprinter,X7,2,Hills
Paul Penhoët,Sprinter,X8,2,Flat
Paul Penhoët,Sprinter,X9,122,Flat
Paul Penhoët,Sprinter,X10,0,Hills
Paul Penhoët,Sprinter,X11,2,Hills
Paul Penhoët,Sprinter,X12,0,Mount
Paul Penhoët,Sprinter,X14,0,Mount
Paul Penhoët,Sprinter,X15,0,Hills
Paul Penhoët,Sprinter,X16,0,Mount
Paul Penhoët,Sprinter,X17,95,Flat
Paul Penhoët,Sprinter,X18,0,Mount
Paul Penhoët,Sprinter,X19,0,Mount
Paul Penhoët,Sprinter,X20,0,Hills
Paul Penhoët,Sprinter,X21,0,Flat
Tobias Foss,Unclassed,X1,0,Flat
Tobias Foss,Unclassed,X2,0,Hills
Tobias Foss,Unclassed,X3,0,Flat
Tobias Foss,Unclassed,X4,0,Hills
Tobias Foss,Unclassed,X6,0,Hills
Tobias Foss,Unclassed,X7,0,Hills
Tobias Foss,Unclassed,X8,0,Flat
Tobias Foss,Unclassed,X9,0,Flat
Tobias Foss,Unclassed,X10,4,Hills
Tobias Foss,Unclassed,X11,0,Hills
Tobias Foss,Unclassed,X12,1,Mount
Tobias Foss,Unclassed,X14,8,Mount
Tobias Foss,Unclassed,X15,0,Hills
Tobias Foss,Unclassed,X16,0,Mount
Tobias Foss,Unclassed,X17,0,Flat
Tobias Foss,Unclassed,X18,0,Mount
Tobias Foss,Unclassed,X19,23,Mount
Tobias Foss,Unclassed,X20,0,Hills
Tobias Foss,Unclassed,X21,0,Flat
Axel Laurance,Unclassed,X1,0,Flat
Axel Laurance,Unclassed,X2,0,Hills
Axel Laurance,Unclassed,X3,0,Flat
Axel Laurance,Unclassed,X4,0,Hills
Axel Laurance,Unclassed,X6,0,Hills
Axel Laurance,Unclassed,X7,70,Hills
Axel Laurance,Unclassed,X8,0,Flat
Axel Laurance,Unclassed,X9,0,Flat
Axel Laurance,Unclassed,X10,4,Hills
Axel Laurance,Unclassed,X11,111,Hills
Axel Laurance,Unclassed,X12,0,Mount
Axel Laurance,Unclassed,X14,8,Mount
Axel Laurance,Unclassed,X15,120,Hills
Axel Laurance,Unclassed,X16,0,Mount
Axel Laurance,Unclassed,X17,0,Flat
Axel Laurance,Unclassed,X18,0,Mount
Axel Laurance,Unclassed,X19,8,Mount
Axel Laurance,Unclassed,X20,0,Hills
Axel Laurance,Unclassed,X21,4,Flat
Samuel Watson,Unclassed,X1,71,Flat
Samuel Watson,Unclassed,X2,0,Hills
Samuel Watson,Unclassed,X3,0,Flat
Samuel Watson,Unclassed,X4,0,Hills
Samuel Watson,Unclassed,X6,0,Hills
Samuel Watson,Unclassed,X7,0,Hills
Samuel Watson,Unclassed,X8,25,Flat
Samuel Watson,Unclassed,X9,0,Flat
Samuel Watson,Unclassed,X10,4,Hills
Samuel Watson,Unclassed,X11,0,Hills
Samuel Watson,Unclassed,X12,0,Mount
Samuel Watson,Unclassed,X14,8,Mount
Samuel Watson,Unclassed,X15,0,Hills
Samuel Watson,Unclassed,X16,0,Mount
Samuel Watson,Unclassed,X17,0,Flat
Samuel Watson,Unclassed,X18,0,Mount
Samuel Watson,Unclassed,X19,8,Mount
Samuel Watson,Unclassed,X20,0,Hills
Samuel Watson,Unclassed,X21,0,Flat
Louis Barré,Unclassed,X1,8,Flat
Louis Barré,Unclassed,X2,0,Hills
Louis Barré,Unclassed,X3,0,Flat
Louis Barré,Unclassed,X4,0,Hills
Louis Barré,Unclassed,X6,0,Hills
Louis Barré,Unclassed,X7,0,Hills
Louis Barré,Unclassed,X8,0,Flat
Louis Barré,Unclassed,X9,0,Flat
Louis Barré,Unclassed,X10,0,Hills
Louis Barré,Unclassed,X11,16,Hills
Louis Barré,Unclassed,X12,0,Mount
Louis Barré,Unclassed,X14,0,Mount
Louis Barré,Unclassed,X15,0,Hills
Louis Barré,Unclassed,X16,0,Mount
Louis Barré,Unclassed,X17,0,Flat
Louis Barré,Unclassed,X18,0,Mount
Louis Barré,Unclassed,X19,0,Mount
Louis Barré,Unclassed,X20,16,Hills
Louis Barré,Unclassed,X21,0,Flat
Vito Braet,Unclassed,X1,8,Flat
Vito Braet,Unclassed,X2,0,Hills
Vito Braet,Unclassed,X3,0,Flat
Vito Braet,Unclassed,X4,0,Hills
Vito Braet,Unclassed,X6,0,Hills
Vito Braet,Unclassed,X7,0,Hills
Vito Braet,Unclassed,X8,0,Flat
Vito Braet,Unclassed,X9,0,Flat
Vito Braet,Unclassed,X10,0,Hills
Vito Braet,Unclassed,X11,0,Hills
Vito Braet,Unclassed,X12,0,Mount
Vito Braet,Unclassed,X14,0,Mount
Vito Braet,Unclassed,X15,0,Hills
Vito Braet,Unclassed,X16,0,Mount
Vito Braet,Unclassed,X17,16,Flat
Vito Braet,Unclassed,X18,0,Mount
Vito Braet,Unclassed,X19,0,Mount
Vito Braet,Unclassed,X20,0,Hills
Vito Braet,Unclassed,X21,2,Flat
Hugo Page,Unclassed,X1,8,Flat
Hugo Page,Unclassed,X2,0,Hills
Hugo Page,Unclassed,X3,6,Flat
Hugo Page,Unclassed,X4,0,Hills
Hugo Page,Unclassed,X6,0,Hills
Hugo Page,Unclassed,X7,0,Hills
Hugo Page,Unclassed,X8,0,Flat
Hugo Page,Unclassed,X9,0,Flat
Hugo Page,Unclassed,X10,0,Hills
Hugo Page,Unclassed,X11,0,Hills
Hugo Page,Unclassed,X12,0,Mount
Hugo Page,Unclassed,X14,0,Mount
Hugo Page,Unclassed,X15,0,Hills
Hugo Page,Unclassed,X16,0,Mount
Hugo Page,Unclassed,X17,0,Flat
Hugo Page,Unclassed,X18,0,Mount
Hugo Page,Unclassed,X19,0,Mount
Hugo Page,Unclassed,X20,0,Hills
Hugo Page,Unclassed,X21,1,Flat
Laurenz Rex,Unclassed,X1,8,Flat
Laurenz Rex,Unclassed,X2,0,Hills
Laurenz Rex,Unclassed,X3,2,Flat
Laurenz Rex,Unclassed,X4,0,Hills
Laurenz Rex,Unclassed,X6,2,Hills
Laurenz Rex,Unclassed,X7,1,Hills
Laurenz Rex,Unclassed,X8,6,Flat
Laurenz Rex,Unclassed,X9,0,Flat
Laurenz Rex,Unclassed,X10,0,Hills
Laurenz Rex,Unclassed,X11,0,Hills
Laurenz Rex,Unclassed,X12,20,Mount
Laurenz Rex,Unclassed,X14,0,Mount
Laurenz Rex,Unclassed,X15,0,Hills
Laurenz Rex,Unclassed,X16,0,Mount
Laurenz Rex,Unclassed,X17,0,Flat
Laurenz Rex,Unclassed,X18,0,Mount
Laurenz Rex,Unclassed,X19,0,Mount
Laurenz Rex,Unclassed,X20,0,Hills
Laurenz Rex,Unclassed,X21,3,Flat
Jonas Rutsch,Unclassed,X1,8,Flat
Jonas Rutsch,Unclassed,X2,0,Hills
Jonas Rutsch,Unclassed,X3,0,Flat
Jonas Rutsch,Unclassed,X4,0,Hills
Jonas Rutsch,Unclassed,X6,0,Hills
Jonas Rutsch,Unclassed,X7,0,Hills
Jonas Rutsch,Unclassed,X8,0,Flat
Jonas Rutsch,Unclassed,X9,0,Flat
Jonas Rutsch,Unclassed,X10,0,Hills
Jonas Rutsch,Unclassed,X11,0,Hills
Jonas Rutsch,Unclassed,X12,0,Mount
Jonas Rutsch,Unclassed,X14,0,Mount
Jonas Rutsch,Unclassed,X15,0,Hills
Jonas Rutsch,Unclassed,X16,0,Mount
Jonas Rutsch,Unclassed,X17,0,Flat
Jonas Rutsch,Unclassed,X18,0,Mount
Jonas Rutsch,Unclassed,X19,0,Mount
Jonas Rutsch,Unclassed,X20,0,Hills
Jonas Rutsch,Unclassed,X21,0,Flat
Georg Zimmermann,Unclassed,X1,8,Flat
Georg Zimmermann,Unclassed,X2,0,Hills
Georg Zimmermann,Unclassed,X3,0,Flat
Georg Zimmermann,Unclassed,X4,0,Hills
Georg Zimmermann,Unclassed,X6,0,Hills
Georg Zimmermann,Unclassed,X7,0,Hills
Georg Zimmermann,Unclassed,X8,3,Flat
Georg Zimmermann,Unclassed,X9,0,Flat
Georg Zimmermann,Unclassed,X10,0,Hills
Georg Zimmermann,Unclassed,X11,0,Hills
Georg Zimmermann,Unclassed,X12,0,Mount
Georg Zimmermann,Unclassed,X14,0,Mount
Georg Zimmermann,Unclassed,X15,0,Hills
Georg Zimmermann,Unclassed,X16,0,Mount
Georg Zimmermann,Unclassed,X17,0,Flat
Georg Zimmermann,Unclassed,X18,0,Mount
Georg Zimmermann,Unclassed,X19,0,Mount
Georg Zimmermann,Unclassed,X20,0,Hills
Georg Zimmermann,Unclassed,X21,0,Flat
Pascal Ackermann,Sprinter,X1,10,Flat
Pascal Ackermann,Sprinter,X2,0,Hills
Pascal Ackermann,Sprinter,X3,80,Flat
Pascal Ackermann,Sprinter,X4,0,Hills
Pascal Ackermann,Sprinter,X6,0,Hills
Pascal Ackermann,Sprinter,X7,0,Hills
Pascal Ackermann,Sprinter,X8,140,Flat
Pascal Ackermann,Sprinter,X9,40,Flat
Pascal Ackermann,Sprinter,X10,0,Hills
Pascal Ackermann,Sprinter,X11,0,Hills
Pascal Ackermann,Sprinter,X12,0,Mount
Pascal Ackermann,Sprinter,X14,0,Mount
Pascal Ackermann,Sprinter,X15,0,Hills
Pascal Ackermann,Sprinter,X16,0,Mount
Pascal Ackermann,Sprinter,X17,0,Flat
Pascal Ackermann,Sprinter,X18,0,Mount
Pascal Ackermann,Sprinter,X19,0,Mount
Pascal Ackermann,Sprinter,X20,0,Hills
Pascal Ackermann,Sprinter,X21,0,Flat
Joseph Blackmore,Unclassed,X1,0,Flat
Joseph Blackmore,Unclassed,X2,13,Hills
Joseph Blackmore,Unclassed,X3,14,Flat
Joseph Blackmore,Unclassed,X4,6,Hills
Joseph Blackmore,Unclassed,X6,0,Hills
Joseph Blackmore,Unclassed,X7,0,Hills
Joseph Blackmore,Unclassed,X8,0,Flat
Joseph Blackmore,Unclassed,X9,0,Flat
Joseph Blackmore,Unclassed,X10,134,Hills
Joseph Blackmore,Unclassed,X11,0,Hills
Joseph Blackmore,Unclassed,X12,0,Mount
Joseph Blackmore,Unclassed,X14,0,Mount
Joseph Blackmore,Unclassed,X15,0,Hills
Joseph Blackmore,Unclassed,X16,0,Mount
Joseph Blackmore,Unclassed,X17,0,Flat
Joseph Blackmore,Unclassed,X18,0,Mount
Joseph Blackmore,Unclassed,X19,0,Mount
Joseph Blackmore,Unclassed,X20,0,Hills
Joseph Blackmore,Unclassed,X21,0,Flat
Alexey Lutsenko,Unclassed,X1,0,Flat
Alexey Lutsenko,Unclassed,X2,0,Hills
Alexey Lutsenko,Unclassed,X3,0,Flat
Alexey Lutsenko,Unclassed,X4,8,Hills
Alexey Lutsenko,Unclassed,X6,0,Hills
Alexey Lutsenko,Unclassed,X7,0,Hills
Alexey Lutsenko,Unclassed,X8,0,Flat
Alexey Lutsenko,Unclassed,X9,0,Flat
Alexey Lutsenko,Unclassed,X10,0,Hills
Alexey Lutsenko,Unclassed,X11,0,Hills
Alexey Lutsenko,Unclassed,X12,0,Mount
Alexey Lutsenko,Unclassed,X14,0,Mount
Alexey Lutsenko,Unclassed,X15,25,Hills
Alexey Lutsenko,Unclassed,X16,0,Mount
Alexey Lutsenko,Unclassed,X17,0,Flat
Alexey Lutsenko,Unclassed,X18,0,Mount
Alexey Lutsenko,Unclassed,X19,0,Mount
Alexey Lutsenko,Unclassed,X20,0,Hills
Alexey Lutsenko,Unclassed,X21,0,Flat
Krists Neilands,Unclassed,X1,31,Flat
Krists Neilands,Unclassed,X2,0,Hills
Krists Neilands,Unclassed,X3,0,Flat
Krists Neilands,Unclassed,X4,0,Hills
Krists Neilands,Unclassed,X6,0,Hills
Krists Neilands,Unclassed,X7,0,Hills
Krists Neilands,Unclassed,X8,0,Flat
Krists Neilands,Unclassed,X9,0,Flat
Krists Neilands,Unclassed,X10,0,Hills
Krists Neilands,Unclassed,X11,0,Hills
Krists Neilands,Unclassed,X12,0,Mount
Krists Neilands,Unclassed,X14,0,Mount
Krists Neilands,Unclassed,X15,0,Hills
Krists Neilands,Unclassed,X16,1,Mount
Krists Neilands,Unclassed,X17,0,Flat
Krists Neilands,Unclassed,X18,0,Mount
Krists Neilands,Unclassed,X19,0,Mount
Krists Neilands,Unclassed,X20,0,Hills
Krists Neilands,Unclassed,X21,0,Flat
Jake Stewart,Sprinter,X1,0,Flat
Jake Stewart,Sprinter,X2,0,Hills
Jake Stewart,Sprinter,X3,30,Flat
Jake Stewart,Sprinter,X4,0,Hills
Jake Stewart,Sprinter,X6,0,Hills
Jake Stewart,Sprinter,X7,0,Hills
Jake Stewart,Sprinter,X8,0,Flat
Jake Stewart,Sprinter,X9,0,Flat
Jake Stewart,Sprinter,X10,0,Hills
Jake Stewart,Sprinter,X11,0,Hills
Jake Stewart,Sprinter,X12,0,Mount
Jake Stewart,Sprinter,X14,0,Mount
Jake Stewart,Sprinter,X15,8,Hills
Jake Stewart,Sprinter,X16,0,Mount
Jake Stewart,Sprinter,X17,0,Flat
Jake Stewart,Sprinter,X18,0,Mount
Jake Stewart,Sprinter,X19,0,Mount
Jake Stewart,Sprinter,X20,130,Hills
Jake Stewart,Sprinter,X21,0,Flat
Michael Woods,Climber,X1,0,Flat
Michael Woods,Climber,X2,0,Hills
Michael Woods,Climber,X3,0,Flat
Michael Woods,Climber,X4,0,Hills
Michael Woods,Climber,X6,0,Hills
Michael Woods,Climber,X7,0,Hills
Michael Woods,Climber,X8,0,Flat
Michael Woods,Climber,X9,0,Flat
Michael Woods,Climber,X10,32,Hills
Michael Woods,Climber,X11,6,Hills
Michael Woods,Climber,X12,21,Mount
Michael Woods,Climber,X14,27,Mount
Michael Woods,Climber,X15,2,Hills
Michael Woods,Climber,X16,2,Mount
Michael Woods,Climber,X17,2,Flat
Michael Woods,Climber,X18,0,Mount
Michael Woods,Climber,X19,0,Mount
Michael Woods,Climber,X20,0,Hills
Michael Woods,Climber,X21,0,Flat
Simone Consonni,Sprinter,X1,2,Flat
Simone Consonni,Sprinter,X2,0,Hills
Simone Consonni,Sprinter,X3,9,Flat
Simone Consonni,Sprinter,X4,2,Hills
Simone Consonni,Sprinter,X6,4,Hills
Simone Consonni,Sprinter,X7,0,Hills
Simone Consonni,Sprinter,X8,8,Flat
Simone Consonni,Sprinter,X9,8,Flat
Simone Consonni,Sprinter,X10,0,Hills
Simone Consonni,Sprinter,X11,0,Hills
Simone Consonni,Sprinter,X12,0,Mount
Simone Consonni,Sprinter,X14,0,Mount
Simone Consonni,Sprinter,X15,0,Hills
Simone Consonni,Sprinter,X16,0,Mount
Simone Consonni,Sprinter,X17,11,Flat
Simone Consonni,Sprinter,X18,0,Mount
Simone Consonni,Sprinter,X19,0,Mount
Simone Consonni,Sprinter,X20,0,Hills
Simone Consonni,Sprinter,X21,0,Flat
Quinn Simmons,Unclassed,X1,0,Flat
Quinn Simmons,Unclassed,X2,0,Hills
Quinn Simmons,Unclassed,X3,4,Flat
Quinn Simmons,Unclassed,X4,0,Hills
Quinn Simmons,Unclassed,X6,206,Hills
Quinn Simmons,Unclassed,X7,2,Hills
Quinn Simmons,Unclassed,X8,12,Flat
Quinn Simmons,Unclassed,X9,4,Flat
Quinn Simmons,Unclassed,X10,23,Hills
Quinn Simmons,Unclassed,X11,75,Hills
Quinn Simmons,Unclassed,X12,0,Mount
Quinn Simmons,Unclassed,X14,6,Mount
Quinn Simmons,Unclassed,X15,20,Hills
Quinn Simmons,Unclassed,X16,0,Mount
Quinn Simmons,Unclassed,X17,10,Flat
Quinn Simmons,Unclassed,X18,5,Mount
Quinn Simmons,Unclassed,X19,8,Mount
Quinn Simmons,Unclassed,X20,0,Hills
Quinn Simmons,Unclassed,X21,0,Flat
Toms Skujiņš,Unclassed,X1,0,Flat
Toms Skujiņš,Unclassed,X2,0,Hills
Toms Skujiņš,Unclassed,X3,4,Flat
Toms Skujiņš,Unclassed,X4,0,Hills
Toms Skujiņš,Unclassed,X6,4,Hills
Toms Skujiņš,Unclassed,X7,0,Hills
Toms Skujiņš,Unclassed,X8,8,Flat
Toms Skujiņš,Unclassed,X9,4,Flat
Toms Skujiņš,Unclassed,X10,0,Hills
Toms Skujiņš,Unclassed,X11,0,Hills
Toms Skujiņš,Unclassed,X12,0,Mount
Toms Skujiņš,Unclassed,X14,0,Mount
Toms Skujiņš,Unclassed,X15,0,Hills
Toms Skujiņš,Unclassed,X16,0,Mount
Toms Skujiņš,Unclassed,X17,8,Flat
Toms Skujiņš,Unclassed,X18,0,Mount
Toms Skujiņš,Unclassed,X19,0,Mount
Toms Skujiņš,Unclassed,X20,0,Hills
Toms Skujiņš,Unclassed,X21,0,Flat
Jasper Stuyven,Unclassed,X1,0,Flat
Jasper Stuyven,Unclassed,X2,0,Hills
Jasper Stuyven,Unclassed,X3,4,Flat
Jasper Stuyven,Unclassed,X4,0,Hills
Jasper Stuyven,Unclassed,X6,4,Hills
Jasper Stuyven,Unclassed,X7,0,Hills
Jasper Stuyven,Unclassed,X8,8,Flat
Jasper Stuyven,Unclassed,X9,4,Flat
Jasper Stuyven,Unclassed,X10,0,Hills
Jasper Stuyven,Unclassed,X11,0,Hills
Jasper Stuyven,Unclassed,X12,0,Mount
Jasper Stuyven,Unclassed,X14,0,Mount
Jasper Stuyven,Unclassed,X15,95,Hills
Jasper Stuyven,Unclassed,X16,0,Mount
Jasper Stuyven,Unclassed,X17,68,Flat
Jasper Stuyven,Unclassed,X18,0,Mount
Jasper Stuyven,Unclassed,X19,4,Mount
Jasper Stuyven,Unclassed,X20,0,Hills
Jasper Stuyven,Unclassed,X21,0,Flat
