all_riders,rider_class,stage,points,stage_class
Wout Van Aert,Unclassed,X17,12,Flat
Wout Van Aert,Unclassed,X18,17,Mount
Wout Van Aert,Unclassed,X19,16,Mount
Wout Van Aert,Unclassed,X20,12,Hills
Wout Van Aert,Unclassed,X21,232,Flat
Simon Yates,Climber,X1,0,Flat
Simon Yates,Climber,X2,8,Hills
Simon Yates,Climber,X3,6,Flat
Simon Yates,Climber,X4,12,Hills
Simon Yates,Climber,X6,148,Hills
Simon Yates,Climber,X7,12,Hills
Simon Yates,Climber,X8,12,Flat
Simon Yates,Climber,X9,8,Flat
Simon Yates,Climber,X10,248,Hills
Simon Yates,Climber,X11,8,Hills
Simon Yates,Climber,X12,16,Mount
Simon Yates,Climber,X14,30,Mount
Simon Yates,Climber,X15,16,Hills
Simon Yates,Climber,X16,12,Mount
Simon Yates,Climber,X17,12,Flat
Simon Yates,Climber,X18,37,Mount
Simon Yates,Climber,X19,81,Mount
Simon Yates,Climber,X20,18,Hills
Simon Yates,Climber,X21,26,Flat
Mathieu Van Der Poel,Unclassed,X1,18,Flat
Mathieu Van Der Poel,Unclassed,X2,258,Hills
Mathieu Van Der Poel,Unclassed,X3,36,Flat
Mathieu Van Der Poel,Unclassed,X4,216,Hills
Mathieu Van Der Poel,Unclassed,X6,154,Hills
Mathieu Van Der Poel,Unclassed,X7,20,Hills
Mathieu Van Der Poel,Unclassed,X8,22,Flat
Mathieu Van Der Poel,Unclassed,X9,57,Flat
Mathieu Van Der Poel,Unclassed,X10,2,Hills
Mathieu Van Der Poel,Unclassed,X11,169,Hills
Mathieu Van Der Poel,Unclassed,X12,22,Mount
Mathieu Van Der Poel,Unclassed,X14,22,Mount
Mathieu Van Der Poel,Unclassed,X15,26,Hills
Mathieu Van Der Poel,Unclassed,X16,0,Mount
Mathieu Van Der Poel,Unclassed,X17,0,Flat
Mathieu Van Der Poel,Unclassed,X18,0,Mount
Mathieu Van Der Poel,Unclassed,X19,0,Mount
Mathieu Van Der Poel,Unclassed,X20,0,Hills
Mathieu Van Der Poel,Unclassed,X21,0,Flat
Lenny Martinez,Climber,X1,0,Flat
Lenny Martinez,Climber,X2,0,Hills
Lenny Martinez,Climber,X3,2,Flat
Lenny Martinez,Climber,X4,36,Hills
Lenny Martinez,Climber,X6,0,Hills
Lenny Martinez,Climber,X7,0,Hills
Lenny Martinez,Climber,X8,0,Flat
Lenny Martinez,Climber,X9,0,Flat
Lenny Martinez,Climber,X10,112,Hills
Lenny Martinez,Climber,X11,12,Hills
Lenny Martinez,Climber,X12,8,Mount
Lenny Martinez,Climber,X14,72,Mount
Lenny Martinez,Climber,X15,12,Hills
Lenny Martinez,Climber,X16,10,Mount
Lenny Martinez,Climber,X17,8,Flat
Lenny Martinez,Climber,X18,36,Mount
Lenny Martinez,Climber,X19,106,Mount
Lenny Martinez,Climber,X20,6,Hills
Lenny Martinez,Climber,X21,8,Flat
Felix Gall,Climber,X1,0,Flat
Felix Gall,Climber,X2,2,Hills
Felix Gall,Climber,X3,1,Flat
Felix Gall,Climber,X4,2,Hills
Felix Gall,Climber,X6,23,Hills
Felix Gall,Climber,X7,147,Hills
Felix Gall,Climber,X8,7,Flat
Felix Gall,Climber,X9,7,Flat
Felix Gall,Climber,X10,28,Hills
Felix Gall,Climber,X11,10,Hills
Felix Gall,Climber,X12,94,Mount
Felix Gall,Climber,X14,171,Mount
Felix Gall,Climber,X15,14,Hills
Felix Gall,Climber,X16,30,Mount
Felix Gall,Climber,X17,14,Flat
Felix Gall,Climber,X18,153,Mount
Felix Gall,Climber,X19,132,Mount
Felix Gall,Climber,X20,16,Hills
Felix Gall,Climber,X21,16,Flat
Carlos Rodríguez,Climber,X1,0,Flat
Carlos Rodríguez,Climber,X2,0,Hills
Carlos Rodríguez,Climber,X3,0,Flat
Carlos Rodríguez,Climber,X4,0,Hills
Carlos Rodríguez,Climber,X6,4,Hills
Carlos Rodríguez,Climber,X7,31,Hills
Carlos Rodríguez,Climber,X8,6,Flat
Carlos Rodríguez,Climber,X9,6,Flat
Carlos Rodríguez,Climber,X10,25,Hills
Carlos Rodríguez,Climber,X11,9,Hills
Carlos Rodríguez,Climber,X12,9,Mount
Carlos Rodríguez,Climber,X14,71,Mount
